[0 0 0 0],1575902393.658502
[0 0 0 0],1575902393.669691
[0 0 0 0],1575902393.6761365
[0 0 0 0],1575902393.681992
[0 0 0 0],1575902393.6985002
[0 0 0 0],1575902393.7146041
[0 0 0 0],1575902393.7305698
[0 0 0 0],1575902393.7466707
[0 0 0 0],1575902393.7626634
[0 0 0 0],1575902393.7787404
[0 0 0 0],1575902393.794924
[0 0 0 0],1575902393.8108854
[0 0 0 0],1575902393.8269737
[0 0 0 0],1575902393.843066
[0 0 0 0],1575902393.859049
[0 0 0 0],1575902393.8759143
[0 0 0 0],1575902393.8825748
[0 0 0 0],1575902393.8893325
[0 0 0 0],1575902393.896129
[0 0 0 0],1575902393.9028177
[0 0 0 0],1575902393.9095054
[0 0 0 0],1575902393.9162242
[0 0 0 0],1575902393.9230177
[0 0 0 0],1575902393.9297013
[0 0 0 0],1575902393.9364789
[0 0 0 0],1575902393.9432254
[0 0 0 0],1575902393.9498894
[0 0 0 0],1575902393.9566326
[0 0 0 0],1575902393.9633667
[0 0 0 0],1575902393.970016
[0 0 0 0],1575902393.976758
[0 0 0 0],1575902393.983512
[0 0 0 0],1575902393.9901874
[0 0 0 0],1575902393.9969182
[0 0 0 0],1575902394.0036943
[0 0 0 0],1575902394.0103512
[0 0 0 0],1575902394.0171154
[0 0 0 0],1575902394.023845
[0 0 0 0],1575902394.0305462
[0 0 0 0],1575902394.0373378
[0 0 0 0],1575902394.0440757
[0 0 0 0],1575902394.0507467
[0 0 0 0],1575902394.0574992
[0 0 0 0],1575902394.0642421
[0 0 0 0],1575902394.0709875
[0 0 0 0],1575902394.077743
[0 0 0 0],1575902394.084562
[0 0 0 0],1575902394.0912337
[0 0 0 0],1575902394.0980392
[0 0 0 0],1575902394.1048744
[0 0 0 0],1575902394.111553
[0 0 0 0],1575902394.1183069
[0 0 0 0],1575902394.1251452
[0 0 0 0],1575902394.131812
[0 0 0 0],1575902394.1385906
[0 0 0 0],1575902394.1453412
[0 0 0 0],1575902394.1521232
[0 0 0 0],1575902394.1589317
[0 0 0 0],1575902394.1656537
[0 0 0 0],1575902394.17232
[0 0 0 0],1575902394.1790853
[0 0 0 0],1575902394.1859386
[0 0 0 0],1575902394.1926076
[0 0 0 0],1575902394.1993637
[0 0 0 0],1575902394.2061121
[0 0 0 0],1575902394.2128637
[0 0 0 0],1575902394.2195873
[0 0 0 0],1575902394.2263412
[0 0 0 0],1575902394.2331042
[0 0 0 0],1575902394.2397811
[0 0 0 0],1575902394.2465281
[0 0 0 0],1575902394.2533352
[0 0 0 0],1575902394.2600543
[0 0 0 0],1575902394.266871
[0 0 0 0],1575902394.2737157
[0 0 0 0],1575902394.2803314
[0 0 0 0],1575902394.2870564
[0 0 0 0],1575902394.2938519
[0 0 0 0],1575902394.300518
[0 0 0 0],1575902394.307232
[0 0 0 0],1575902394.3140051
[0 0 0 0],1575902394.3206856
[0 0 0 0],1575902394.3274407
[0 0 0 0],1575902394.3342178
[0 0 0 0],1575902394.3409014
[0 0 0 0],1575902394.3476694
[0 0 0 0],1575902394.354471
[0 0 0 0],1575902394.3611064
[0 0 0 0],1575902394.3678968
[0 0 0 0],1575902394.3749855
[0 0 0 0],1575902394.3820426
[0 0 0 0],1575902394.388901
[0 0 0 0],1575902394.3956902
[0 0 0 0],1575902394.4023645
[0 0 0 0],1575902394.409229
[0 0 0 0],1575902394.4159744
[0 0 0 0],1575902394.4226625
[0 0 0 0],1575902394.4294264
[0 0 0 0],1575902394.4362133
[0 0 0 0],1575902394.4429543
[0 0 0 0],1575902394.4496663
[0 0 0 0],1575902394.4565086
[0 0 0 0],1575902394.4633238
[0 0 0 0],1575902394.470039
[0 0 0 0],1575902394.4768038
[0 0 0 0],1575902394.4835749
[0 0 0 0],1575902394.4903166
[0 0 0 0],1575902394.4970877
[0 0 0 0],1575902394.5046413
[0 0 0 0],1575902394.5136232
